order_id,user_id,order_date,product_id,product_category,product_name,quantity,price_per_unit,payment_method,order_status
1001,U188,20-04-2025,P940,Fashion,Sneakers,2,58.53,PayPal,Cancelled
1002,U062,16-04-2025,P794,Fashion,T-Shirt,3,83.76,UPI,Returned
1003,U058,18-04-2025,P326,Fashion,Sunglasses,2,78.85,PayPal,Processing
1004,U011,10-04-2025,P574,Fashion,Sunglasses,5,46.49,PayPal,Delivered
1005,U003,19-04-2025,P988,Home Decor,Photo Frame,2,78.61,PayPal,Returned
1006,U017,15-04-2025,P328,Kitchen,Knife Set,4,53.51,Credit Card,Returned
1007,U129,23-04-2025,P786,Home Decor,Wall Clock,5,12.71,Credit Card,Returned
1008,U102,15-04-2025,P101,Home Decor,Photo Frame,1,46.6,Debit Card,Cancelled
1009,U040,04-04-2025,P610,Kitchen,Toaster,4,35.87,Credit Card,Processing
1010,U186,29-04-2025,P354,Kitchen,Microwave,1,30.95,Credit Card,Processing
1011,U168,02-05-2025,P706,Electronics,USB-C Cable,4,18.79,PayPal,Processing
1012,U148,24-04-2025,P315,Fashion,Sunglasses,5,69.14,Credit Card,Processing
1013,U140,03-05-2025,P516,Fashion,Sneakers,5,90.64,Credit Card,Cancelled
1014,U112,18-04-2025,P111,Books,Data Engineering 101,1,93.91,Credit Card,Cancelled
1015,U184,11-04-2025,P930,Fashion,Sunglasses,1,61,UPI,Cancelled
1016,U025,24-04-2025,P713,Electronics,Smartwatch,2,54.77,UPI,Returned
1017,U021,26-04-2025,P728,Books,Big Data Explained,5,13.42,PayPal,Delivered
1018,U067,15-04-2025,P650,Electronics,Wireless Mouse,2,18.72,Debit Card,Processing
1019,U115,03-05-2025,P973,Kitchen,Blender,3,35.68,Debit Card,Delivered
1020,U159,16-04-2025,P859,Kitchen,Blender,4,56.08,UPI,Processing
1021,U051,30-04-2025,P416,Electronics,Power Bank,2,12.65,UPI,Processing
1022,U027,28-04-2025,P269,Books,AI Revolution,5,24.58,UPI,Delivered
1023,U066,28-04-2025,P312,Kitchen,Cutting Board,4,78.8,PayPal,Delivered
1024,U001,09-04-2025,P960,Books,Spark for Dummies,3,56.91,PayPal,Returned
1025,U042,23-04-2025,P311,Kitchen,Cutting Board,4,16.8,Debit Card,Returned
1026,U198,05-04-2025,P793,Fashion,Sneakers,4,77.54,Credit Card,Processing
1027,U002,21-04-2025,P756,Electronics,Smartwatch,4,29.27,UPI,Cancelled
1028,U063,22-04-2025,P347,Fashion,T-Shirt,5,42.37,PayPal,Cancelled
1029,U134,21-04-2025,P329,Electronics,Smartwatch,1,40,PayPal,Cancelled
1030,U040,23-04-2025,P106,Electronics,Smartwatch,4,29.31,PayPal,Returned
1031,U178,04-04-2025,P887,Electronics,Wireless Mouse,1,80.17,PayPal,Processing
1032,U090,11-04-2025,P895,Kitchen,Cutting Board,2,29.79,Credit Card,Cancelled
1033,U160,07-04-2025,P518,Kitchen,Microwave,4,34.77,Credit Card,Processing
1034,U016,23-04-2025,P948,Home Decor,Wall Clock,3,54.5,UPI,Returned
1035,U150,10-04-2025,P242,Home Decor,Cushion Cover,2,34.04,Credit Card,Cancelled
1036,U171,02-05-2025,P585,Home Decor,Cushion Cover,2,17.22,Credit Card,Processing
1037,U144,24-04-2025,P840,Kitchen,Cutting Board,5,16.59,PayPal,Returned
1038,U093,25-04-2025,P324,Books,Spark for Dummies,2,53.03,PayPal,Returned
1039,U020,19-04-2025,P834,Fashion,Sneakers,4,60.17,UPI,Returned
1040,U172,08-04-2025,P644,Home Decor,Wall Art,2,97.17,Debit Card,Processing
1041,U080,23-04-2025,P171,Kitchen,Toaster,1,81.25,Credit Card,Returned
1042,U144,14-04-2025,P191,Kitchen,Microwave,1,58.35,Credit Card,Cancelled
1043,U061,17-04-2025,P371,Books,Big Data Explained,1,27.32,UPI,Returned
1044,U146,27-04-2025,P553,Fashion,Jacket,1,95.74,Debit Card,Returned
1045,U089,05-04-2025,P704,Fashion,Jeans,4,23.51,UPI,Cancelled
1046,U016,16-04-2025,P750,Kitchen,Cutting Board,5,83.03,UPI,Returned
1047,U035,16-04-2025,P862,Books,Spark for Dummies,2,40.27,Credit Card,Returned
1048,U043,17-04-2025,P807,Books,Big Data Explained,2,24.86,Credit Card,Returned
1049,U135,22-04-2025,P130,Books,Spark for Dummies,3,46.3,Credit Card,Processing
1050,U137,24-04-2025,P994,Fashion,Jeans,2,62.31,Credit Card,Delivered
1051,U049,25-04-2025,P219,Home Decor,Wall Art,3,78.9,UPI,Processing
1052,U036,19-04-2025,P771,Kitchen,Blender,5,86.45,Credit Card,Delivered
1053,U090,17-04-2025,P374,Kitchen,Cutting Board,5,57.21,Credit Card,Processing
1054,U119,17-04-2025,P173,Kitchen,Knife Set,4,35.34,Debit Card,Cancelled
1055,U129,19-04-2025,P143,Fashion,Jeans,5,34.83,Credit Card,Delivered
1056,U127,09-04-2025,P390,Books,Big Data Explained,5,54.08,Credit Card,Returned
1057,U146,22-04-2025,P147,Electronics,Wireless Mouse,5,86.64,UPI,Cancelled
1058,U090,16-04-2025,P250,Home Decor,Wall Clock,5,72.65,UPI,Cancelled
1059,U168,20-04-2025,P208,Electronics,Smartwatch,3,57.53,UPI,Delivered
1060,U166,30-04-2025,P806,Fashion,Jacket,3,26.2,Debit Card,Processing
1061,U069,06-04-2025,P463,Home Decor,Wall Clock,1,96.35,PayPal,Delivered
1062,U044,28-04-2025,P164,Electronics,Wireless Mouse,4,79.22,PayPal,Delivered
1063,U187,03-05-2025,P772,Home Decor,Wall Art,2,46.91,Debit Card,Processing
1064,U152,28-04-2025,P133,Home Decor,Wall Clock,3,56.43,UPI,Processing
1065,U025,07-04-2025,P235,Kitchen,Cutting Board,1,88.33,Debit Card,Returned
1066,U128,15-04-2025,P639,Home Decor,Cushion Cover,4,20.13,Credit Card,Delivered
1067,U104,02-05-2025,P406,Fashion,Jacket,3,54.89,Credit Card,Processing
1068,U039,17-04-2025,P800,Electronics,Bluetooth Headphones,5,30.6,Debit Card,Processing
1069,U178,02-05-2025,P408,Kitchen,Toaster,4,24.35,PayPal,Returned
1070,U101,25-04-2025,P189,Electronics,Wireless Mouse,3,33.68,Credit Card,Delivered
1071,U119,01-05-2025,P893,Electronics,Power Bank,3,83.02,PayPal,Cancelled
1072,U030,09-04-2025,P867,Kitchen,Microwave,1,79.11,Debit Card,Processing
1073,U015,03-05-2025,P201,Fashion,Sunglasses,5,62.2,Debit Card,Returned
1074,U145,04-04-2025,P509,Books,Spark for Dummies,4,46.86,UPI,Processing
1075,U046,12-04-2025,P550,Kitchen,Blender,1,68.53,UPI,Delivered
1076,U141,13-04-2025,P898,Home Decor,Lamp,3,41.6,UPI,Processing
1077,U086,04-04-2025,P295,Electronics,Power Bank,4,39.31,UPI,Returned
1078,U095,29-04-2025,P496,Books,Big Data Explained,3,10.59,Credit Card,Returned
1079,U075,11-04-2025,P258,Kitchen,Microwave,5,57.66,Debit Card,Processing
1080,U019,24-04-2025,P377,Kitchen,Toaster,4,29.61,Credit Card,Returned
1081,U026,21-04-2025,P585,Fashion,Jacket,4,12.75,Credit Card,Returned
1082,U044,21-04-2025,P295,Home Decor,Wall Clock,1,88.48,Credit Card,Delivered
1083,U200,26-04-2025,P383,Home Decor,Wall Art,2,38.91,UPI,Cancelled
1084,U006,10-04-2025,P188,Home Decor,Cushion Cover,3,91.28,Credit Card,Processing
1085,U197,28-04-2025,P688,Kitchen,Toaster,4,66.36,PayPal,Returned
1086,U115,27-04-2025,P248,Books,Spark for Dummies,1,94.75,Credit Card,Cancelled
1087,U138,20-04-2025,P576,Home Decor,Wall Art,4,97.87,Debit Card,Processing
1088,U178,04-04-2025,P471,Books,Spark for Dummies,3,63.13,UPI,Cancelled
1089,U172,11-04-2025,P661,Fashion,T-Shirt,5,25.65,Credit Card,Delivered
1090,U108,14-04-2025,P209,Kitchen,Blender,1,32.56,PayPal,Cancelled
1091,U044,03-05-2025,P350,Home Decor,Lamp,5,71.38,PayPal,Returned
1092,U180,20-04-2025,P621,Books,Data Engineering 101,5,42.06,Credit Card,Delivered
1093,U053,29-04-2025,P397,Kitchen,Toaster,2,17.21,UPI,Cancelled
1094,U139,13-04-2025,P203,Books,AI Revolution,1,42.15,PayPal,Delivered
1095,U025,03-05-2025,P891,Kitchen,Cutting Board,2,34.47,Debit Card,Cancelled
1096,U001,25-04-2025,P582,Fashion,T-Shirt,1,49.87,Credit Card,Delivered
1097,U061,18-04-2025,P271,Kitchen,Microwave,1,18.93,UPI,Cancelled
1098,U044,25-04-2025,P349,Electronics,Bluetooth Headphones,3,59.76,PayPal,Processing
1099,U093,03-05-2025,P642,Home Decor,Wall Clock,2,79.81,PayPal,Cancelled
1100,U039,28-04-2025,P739,Electronics,Bluetooth Headphones,5,31.91,Credit Card,Processing
1101,U100,15-04-2025,P511,Fashion,Sunglasses,5,64.28,Credit Card,Returned
1102,U130,10-04-2025,P131,Fashion,T-Shirt,5,70.46,Credit Card,Cancelled
1103,U193,29-04-2025,P131,Home Decor,Wall Clock,3,57.7,PayPal,Returned
1104,U120,23-04-2025,P287,Electronics,Bluetooth Headphones,5,69.51,Debit Card,Delivered
1105,U044,28-04-2025,P923,Kitchen,Cutting Board,2,72.72,PayPal,Processing
1106,U094,02-05-2025,P976,Books,Clean Code,1,79.15,UPI,Returned
1107,U120,29-04-2025,P231,Kitchen,Microwave,5,56.9,Credit Card,Returned
1108,U145,17-04-2025,P265,Kitchen,Cutting Board,2,29.26,Credit Card,Delivered
1109,U035,26-04-2025,P369,Books,Spark for Dummies,2,89.75,Debit Card,Returned
1110,U078,18-04-2025,P233,Kitchen,Microwave,2,68.11,Debit Card,Cancelled
1111,U144,05-04-2025,P491,Fashion,T-Shirt,4,27.96,UPI,Cancelled
1112,U037,27-04-2025,P701,Books,AI Revolution,5,64.73,PayPal,Delivered
1113,U140,02-05-2025,P823,Electronics,USB-C Cable,1,37.7,PayPal,Delivered
1114,U041,01-05-2025,P582,Books,Clean Code,3,92.61,Credit Card,Cancelled
1115,U024,16-04-2025,P133,Books,Big Data Explained,3,16.55,Credit Card,Delivered
1116,U060,28-04-2025,P667,Electronics,Power Bank,4,69.15,PayPal,Cancelled
1117,U104,14-04-2025,P310,Fashion,T-Shirt,5,78.32,Debit Card,Delivered
1118,U086,05-04-2025,P560,Electronics,USB-C Cable,4,53.4,PayPal,Processing
1119,U153,21-04-2025,P539,Books,Spark for Dummies,4,78.42,Credit Card,Processing
1120,U135,20-04-2025,P710,Books,Data Engineering 101,2,17.02,Debit Card,Cancelled
1121,U188,26-04-2025,P206,Electronics,USB-C Cable,2,18.86,PayPal,Processing
1122,U052,05-04-2025,P652,Electronics,USB-C Cable,1,91.91,Debit Card,Processing
1123,U014,23-04-2025,P723,Electronics,Bluetooth Headphones,1,54.99,Credit Card,Processing
1124,U049,25-04-2025,P809,Fashion,Jacket,4,62.31,Credit Card,Delivered
1125,U151,16-04-2025,P387,Electronics,USB-C Cable,1,16.98,PayPal,Returned
1126,U161,20-04-2025,P420,Electronics,USB-C Cable,3,98.48,UPI,Delivered
1127,U183,09-04-2025,P549,Home Decor,Photo Frame,4,33.58,Credit Card,Returned
1128,U022,02-05-2025,P630,Electronics,USB-C Cable,3,72.54,UPI,Cancelled
1129,U033,22-04-2025,P748,Electronics,Bluetooth Headphones,2,19.72,Credit Card,Processing
1130,U032,14-04-2025,P948,Electronics,Power Bank,5,59.34,Debit Card,Processing
1131,U113,02-05-2025,P807,Books,Big Data Explained,4,48.93,UPI,Cancelled
1132,U043,28-04-2025,P796,Electronics,Bluetooth Headphones,4,46.37,PayPal,Returned
1133,U140,02-05-2025,P892,Electronics,USB-C Cable,3,72.08,Credit Card,Processing
1134,U056,02-05-2025,P392,Kitchen,Blender,2,28.35,Credit Card,Returned
1135,U063,29-04-2025,P497,Fashion,Jacket,2,22.28,PayPal,Cancelled
1136,U023,26-04-2025,P470,Books,Spark for Dummies,5,87.21,PayPal,Delivered
1137,U021,10-04-2025,P543,Home Decor,Lamp,4,53.3,UPI,Cancelled
1138,U145,04-04-2025,P806,Electronics,USB-C Cable,1,95.31,Debit Card,Delivered
1139,U086,06-04-2025,P869,Books,Spark for Dummies,5,58.72,Credit Card,Delivered
1140,U145,09-04-2025,P892,Fashion,Jacket,4,38.6,UPI,Returned
1141,U042,04-04-2025,P342,Fashion,T-Shirt,1,91.25,PayPal,Delivered
1142,U061,20-04-2025,P387,Kitchen,Blender,1,62.61,Debit Card,Cancelled
1143,U082,07-04-2025,P521,Fashion,Jacket,5,96.32,Credit Card,Delivered
1144,U066,23-04-2025,P678,Fashion,Sunglasses,1,39.63,PayPal,Processing
1145,U025,04-04-2025,P922,Books,Big Data Explained,5,33.62,Credit Card,Returned
1146,U179,09-04-2025,P390,Home Decor,Wall Clock,2,91.94,UPI,Processing
1147,U030,20-04-2025,P505,Kitchen,Cutting Board,4,70.64,UPI,Processing
1148,U158,19-04-2025,P305,Electronics,Wireless Mouse,5,62.77,Credit Card,Processing
1149,U096,05-04-2025,P684,Books,Spark for Dummies,5,93.19,Debit Card,Processing
